affil_name,status,valid_ids,affil_names_valid,invalid_ids,affil_names_invalid,eid,author,affil_city
"Sorbonne University Inserm, Université Sorbonne Paris Nord, Laboratoire d'Informatique Médicale et d'Ingénierie des Connaissances pour la e-Santé, LIMICS",In HAL (Valid),"303623, 1001042, 581146, 413221",Université Sorbonne Paris Nord | Sorbonne Université [SU] | Institut National de la Santé et de la Recherche Médicale [INSERM] | Laboratoire d'Informatique Médicale et Ingénierie des Connaissances en e-Santé [LIMICS],,,2-s2.0-85175579452,Christel Daniel,Paris
"Assistance Publique–Hôpitaux de Paris, Department of medical oncology, Pitié Salpétrière University Hospital, Sorbonne Université",In HAL (Valid),413221,Sorbonne Université [SU],,,2-s2.0-85175579452,Johanna Wassermann,Paris
"Assistance Publique–Hôpitaux de Paris, Institut Universitaire de cancérologie, Sorbonne Université",In HAL (Valid),"441569, 303623, 300068, 581174, 413221",Sorbonne Université [SU] | Institut Universitaire de Cancérologie [Sorbonne Université] [IUC] | Assistance publique - Hôpitaux de Paris (AP-HP) [AP-HP] | Centre National de la Recherche Scientifique [CNRS] | Institut National de la Santé et de la Recherche Médicale [INSERM],,,2-s2.0-85175579452,Johanna Wassermann,Paris
"Assistance Publique–Hôpitaux de Paris, Department of gynecology, Pitié Salpétrière University Hospital, Sorbonne Université",In HAL (Valid),413221,Sorbonne Université [SU],,,2-s2.0-85175579452,Catherine Uzan,Paris
"Assistance Publique–Hôpitaux de Paris, Department of medical oncology, Tenon University Hospital, Sorbonne Université",In HAL (Valid),413221,Sorbonne Université [SU],,,2-s2.0-85175579452,Joseph Gligorov,Paris
"Department of medical informatics, Assistance Publique Hôpitaux de Paris, Centre-Université de Paris (APHP-CUP), Université Paris CIté",In HAL (Valid),"557826, 300068",Assistance publique - Hôpitaux de Paris (AP-HP) [AP-HP] | Université Paris Cité [UPCité],,,2-s2.0-85175579452,Gilles Chatellier,Paris
"Assistance Publique–Hôpitaux de Paris, Department of Radiation Oncology and Henri Mondor Breast Center, Henri Mondor and Albert Chenevier University Hospital, Université Paris Est Créteil",In HAL (Valid),420786,Université Paris-Est Créteil Val-de-Marne - Paris 12 [UPEC UP12],,,2-s2.0-85175579452,Yazid Belkacemi,Créteil
"Assistance Publique – Hôpitaux de Paris, Department of medical oncology, Henri Mondor and Albert Chenevier University Hospital, Université Paris Est Créteil",In HAL (Valid),"300068, 420786",Assistance publique - Hôpitaux de Paris (AP-HP) [AP-HP] | Université Paris-Est Créteil Val-de-Marne - Paris 12 [UPEC UP12],,,2-s2.0-85175579452,Emmanuelle Kempf,Créteil
"Assistance Publique–Hôpitaux de Paris, Department of radiation therapy, Saint Louis University Hospital, Université Paris Cité",In HAL (Valid),557826,Université Paris Cité [UPCité],,,2-s2.0-85175579452,Sophie Guillerm,Créteil
"Assistance Publique–Hôpitaux de Paris, Department of medical information",In HAL (Valid),300068,Assistance publique - Hôpitaux de Paris (AP-HP) [AP-HP],,,2-s2.0-85175579452,Rémi Flicoteaux,Paris
"Assistance Publique–Hôpitaux de Paris, Department of senology, Saint Louis Teaching Hospital, Université Paris Cité",In HAL (Valid),"557826, 300068",Assistance publique - Hôpitaux de Paris (AP-HP) [AP-HP] | Université Paris Cité [UPCité],,,2-s2.0-85175579452,Luis Teixeira,Paris
"Assistance Publique – Hôpitaux de Paris, Department of plastic surgery, Henri Mondor and Albert Chenevier University Hospital, Université Paris Est Créteil",In HAL (Valid),420786,Université Paris-Est Créteil Val-de-Marne - Paris 12 [UPEC UP12],,,2-s2.0-85175579452,Barbara Hersant,Créteil
"State Key Laboratory of Explosion Science and Technology, Beijing Institute of Technology",In HAL (Valid),74978,Beijing Institute of Technology [BIT],,,2-s2.0-85164226223,Xu An,Beijing
"Univ Angers, LERIA, SFR MATHSTIC",In HAL (Valid),"74911, 578418",Université d'Angers [UA] | SFR UA MathSTIC [MATHSTIC],,,2-s2.0-85149654986,Nicolas Dupin,Angers
Paris Saclay University (CentraleSupélec) & ESTIA Institute of Technology,Not in HAL,,,,,2-s2.0-85164299085,Guy André Boy,Gif-sur-Yvette
"Climate Economics Chair, Palais Brongniart",Not in HAL,,,,,2-s2.0-85159927015,Adrien Nicolle,Paris
"Industrial Engineering Research Department, CentraleSupélec, Université Paris-Saclay",In HAL (Valid),"419361, 411575",CentraleSupélec | Université Paris-Saclay,,,2-s2.0-85159927015,Adrien Nicolle,Gif-sur-Yvette
IFP Énergies nouvelles,In HAL (Valid),300006,IFP Energies nouvelles [IFPEN],,,2-s2.0-85159927015,Olivier Massol,Rueil-Malmaison
"Center for Energy Economics and Management, IFP School",In HAL (Valid),301739,IFP School,,,2-s2.0-85159927015,Olivier Massol,Rueil-Malmaison
"Department of Economics, City, University of London",In HAL (Valid),"138782, 442694",University of London [London] | City University London,,,2-s2.0-85159927015,Olivier Massol,London
"College of Business and Economics, UAE University",In HAL (Valid),310195,UAE University,,,2-s2.0-85160211837,Mouna Kchaou-Boujelben,Al Ain
"OASIS-ENIT, University of Tunis El Manar",In HAL (Valid),1061809,University of Tunis El Manar,,,2-s2.0-85160211837,Mounir Bensalem,Tunis
"LGI, Centrale Supelec, University of Paris-Saclay",In HAL (Valid),"411575, 1043712, 419361",Laboratoire Génie Industriel [LGI] | CentraleSupélec | Université Paris-Saclay,,,2-s2.0-85160211837,Zied Jemai,Chatenay-Malabry
"School of Transportation and Logistics Engineering, Wuhan University of Technology",In HAL (Valid),478387,Wuhan University of Technology [WHUT],,,2-s2.0-85150020082,Daogui Tang,Wuhan
"Ningbo Zhoushan Port Group Co., Ltd.",Not in HAL,,,,,2-s2.0-85150020082,Daogui Tang,Ningbo
"Université Paris-Saclay, CentraleSupélec, Laboratoire Génie Industriel, Chaire on Risk and Resilience of Complex Systems",In HAL (Valid),"419361, 1043712, 411575",Laboratoire Génie Industriel [LGI] | CentraleSupélec | Université Paris-Saclay,,,2-s2.0-85150020082,Daogui Tang,Gif sur Yvette
"Centre for Research on Risk and Crises (CRC), Mines ParisTech Sophia Antipolis, PSL Research University",Not in HAL,,,,,2-s2.0-85150020082,Enrico Zio,Sophia Antipolis
Kyung-Hee University,In HAL (Valid),305304,Kyung Hee University [KHU],,,2-s2.0-85150020082,Enrico Zio,
"Industrial Engineering Research Department (LGI), Ecole CentraleSupélec",In HAL (Valid),411575,CentraleSupélec,,,2-s2.0-85147655644,Lara Qasim,Palaiseau
"Laboratory of Signals & Systems (L2S), Ecole CentraleSupélec",In HAL (Valid),411575,CentraleSupélec,,,2-s2.0-85147655644,Lara Qasim,Palaiseau
"Thales technical directorate, Thales Group",Not in HAL,,,,,2-s2.0-85147655644,Lara Qasim,Palaiseau
"ROSDM Research Team, LMAID —Laboratory of Applied Mathematics and Business Intelligence, École Nationale Supérieure des Mines de Rabat (ENSMR)",Not in HAL,,,,,2-s2.0-85144193156,Lina Aboueljinane,
"LGI, CentraleSupélec, Paris Saclay University",In HAL (Valid),"419361, 1043712, 411575",Laboratoire Génie Industriel [LGI] | CentraleSupélec | Université Paris-Saclay,,,2-s2.0-85144193156,Evren Sahin,
"OASIS-ENIT, University of Tunis El Manar",In HAL (Valid),1061809,University of Tunis El Manar,,,2-s2.0-85144193156,Zied Jemai,
"Armand Peugeot Chair, Sustainable Economy Group, Department of Industrial Engineering, CentraleSupélec (Paris Saclay University)",Not in HAL,,,,,2-s2.0-85152223894,Wale Arowolo,Gif-sur-Yvette Cedex
"Université Paris-Saclay, CentraleSupélec, Laboratoire Génie Industriel",In HAL (Valid),"419361, 1043712, 411575",Laboratoire Génie Industriel [LGI] | CentraleSupélec | Université Paris-Saclay,,,2-s2.0-85159768987,Guillaume Lame,
"Université de Paris, APHP-CUP, Department of Medical Informatics",In HAL (Valid),420786,Université Paris-Est Créteil Val-de-Marne - Paris 12 [UPEC UP12],,,2-s2.0-85159768987,Gilles Chatellier,Paris
"AP-HP, Innovation and Data, IT Department",In HAL (Valid),"328304, 413221, 300068",Assistance publique - Hôpitaux de Paris (AP-HP) [AP-HP] | Sorbonne Université [SU] | CHU Tenon [AP-HP],,,2-s2.0-85159768987,Romain Bey,Paris
"Sorbonne Université, LIMICS",In HAL (Valid),"303623, 1001042, 581146, 413221",Sorbonne Université [SU] | Université Sorbonne Paris Nord | Institut National de la Santé et de la Recherche Médicale [INSERM] | Laboratoire d'Informatique Médicale et Ingénierie des Connaissances en e-Santé [LIMICS],,,2-s2.0-85159768987,Christel Daniel,Paris
"Université Paris Est Créteil, AP-HP, Department of Medical Oncology, Henri Mondor and Albert Chenevier Teaching Hospital",In HAL (Valid),"300068, 420786",Assistance publique - Hôpitaux de Paris (AP-HP) [AP-HP] | Université Paris-Est Créteil Val-de-Marne - Paris 12 [UPEC UP12],,,2-s2.0-85159768987,Christophe Tournigand,Créteil
"Department of Advanced Design and Systems Engineering, City University of Hong Kong",In HAL (Valid),32772,City University of Hong Kong [Hong Kong] [CUHK],,,2-s2.0-85133565648,Zhaoyuan Yin,
"School of Data Science, City University of Hong Kong",In HAL (Valid),32772,City University of Hong Kong [Hong Kong] [CUHK],,,2-s2.0-85133565648,Min Xie,
"School of Management, Xi'an Jiaotong University",In HAL (Valid),301676,Xi'an Jiaotong University [Xjtu],,,2-s2.0-85133565648,Chao Fang,Xi'an
"School of Data Science, The Chinese University of Hong Kong",In HAL (Valid),"530086, 351709",School of Data and Computer Science [Guangzhou] | Sun Yat-sen University [Guangzhou] [SYSU],,,2-s2.0-85133565648,Haoxiang Yang,Shenzhen
Shenzhen Institute of Artificial Intelligence and Robotics for Society,Not in HAL,,,,,2-s2.0-85133565648,Haoxiang Yang,Shenzhen
"Université Paris-Saclay, INRAE, FRISE",In HAL (Valid),"419361, 577435","Université Paris-Saclay | Institut National de Recherche pour l’Agriculture, l’Alimentation et l’Environnement [INRAE]",,,2-s2.0-85147443987,Yasmine Salehy,Antony
"Laboratoire Genie Industriel, CentraleSupélec, Université Paris-Saclay",In HAL (Valid),"419361, 1043712, 411575",Laboratoire Génie Industriel [LGI] | CentraleSupélec | Université Paris-Saclay,,,2-s2.0-85147443987,François Cluzel,
Pforzheim University,In HAL (Valid),487694,Pforzheim University,,,2-s2.0-85144635297,Eliane Horschutz Nemoto,Pforzheim
Fraunhofer Institute for System and Innovation Research,Not in HAL,,,,,2-s2.0-85144635297,Dorien Korbee,Karlsruhe
"Laboratoire de Génie Industriel, CentraleSupélec, Université Paris Saclay",In HAL (Valid),"419361, 411575",CentraleSupélec | Université Paris-Saclay,,,2-s2.0-85149390161,Guillaume Lamé,Gif-sur-Yvette
"Clinical Operational Research Unit, University College London",In HAL (Valid),300875,University College of London [London] [UCL],,,2-s2.0-85149390161,Sonya Crowe,London
"Department of Engineering, The Healthcare Improvement Studies (THIS) Institute, University of Cambridge, The Old Schools",In HAL (Valid),237843,University of Cambridge [UK] [CAM],,,2-s2.0-85149390161,Alexander Komashie,Cambridge
"School of Information Engineering, Henan Institute of Science and Technology",Not in HAL,,,,,2-s2.0-85147860840,Yafeng Han,Xinxiang
"Marketing and Logistics Department, Sumy National Agrarian University",Not in HAL,,,,,2-s2.0-85147860840,Yafeng Han,Sumy
"Faculté Jean Monnet, Université Paris-Saclay",In HAL (Valid),419361,Université Paris-Saclay,,,2-s2.0-85147860840,Kseniia Bliumska-Danko,Sceaux
"Industrial and Enterprise Systems Engineering Department, University of Illinois Urbana-Champaign",In HAL (Valid),"175019, 303576, 325015",Department of Industrial and Enterprise Systems Engineering [ISE] | University of Illinois System | University of Illinois at Urbana-Champaign [Urbana] [UIUC],,,2-s2.0-85147860840,Michael Saidani,Urbana
"Department of Economics and Statistics “Cognetti de Martiis”, University of Turin",In HAL (Valid),47709,Università degli studi di Torino = University of Turin [UNITO],,,2-s2.0-85147860840,Meisam Ranjbari,Turin
"Department of Management, University of Turin",In HAL (Valid),47709,Università degli studi di Torino = University of Turin [UNITO],,,2-s2.0-85147860840,Zahra Shams Esfandabadi,Turin
"Department of Environment, Land, and Infrastructure Engineering (DIATI), Politecnico di Torino",Not in HAL,,,,,2-s2.0-85147860840,Zahra Shams Esfandabadi,Turin
"Energy Center Lab, Politecnico di Torino",Not in HAL,,,,,2-s2.0-85147860840,Zahra Shams Esfandabadi,Turin
"Escuela de Doctorado y Estudios de Posgrado, Universidad de La Laguna (ULL)",In HAL (Valid),472070,Universidad de La Laguna [Tenerife - SP] [ULL],,,2-s2.0-85147845247,Alejandro Rojano-Padrón,San Cristóbal de La Laguna
Vedecom Institute,Not in HAL,,,,,2-s2.0-85147845247,Marc Olivier Metais,Versailles
"LGI, CentraleSupélec, Université Paris-Saclay",In HAL (Valid),"419361, 1043712, 411575",Laboratoire Génie Industriel [LGI] | CentraleSupélec | Université Paris-Saclay,,,2-s2.0-85147845247,Marc Olivier Metais,
"Centro de Estudios de Desigualdad Social y Gobernanza (CEDESOG), Universidad de La Laguna (ULL)",Not in HAL,,,,,2-s2.0-85147845247,Francisco J. Ramos-Real,San Cristóbal de La Laguna
"Department of Economics, Accounting and Finance and University Institute of Social Research and Tourism, Universidad de La Laguna (ULL)",Not in HAL,,,,,2-s2.0-85147845247,Francisco J. Ramos-Real,San Cristóbal de La Laguna
"Kent Business School, University of Kent",In HAL (Valid),519435,"Kent Business School, University of Kent",,,2-s2.0-85130189948,Sadeque Hamdan,Canterbury
"Laboratoire Genie Industriel, Université Paris-Saclay, CentraleSupélec",In HAL (Valid),"419361, 1043712, 411575",Laboratoire Génie Industriel [LGI] | CentraleSupélec | Université Paris-Saclay,,,2-s2.0-85130189948,Sadeque Hamdan,
"Laboratoire OASIS, Ecole Nationale d’Ingénieurs de Tunis, University of Tunis Elmanar",In HAL (Valid),"207896, 300862",Université de Tunis El Manar [UTM] | Ecole Nationale d'Ingénieurs de Tunis [ENIT],,,2-s2.0-85130189948,Zied Jemai,Tunis
"Industrial Engineering and Engineering Management Department, University of Sharjah",In HAL (Valid),350478,American University of Sharjah,,,2-s2.0-85130189948,Ali Cheaitou,Sharjah
"Division of Communication and Transport Systems, ITN, Linköping University",In HAL (Valid),302346,Linköping University [LIU],,,2-s2.0-85130189948,Tobias Andersson Granberg,Norrköping
"Université Paris Saclay, CentraleSupélec Laboratoire Génie Industriel",In HAL (Valid),419361,Université Paris-Saclay,,,2-s2.0-85179625443,Ayman Mahmoud,Gif-sur-Yvette
"Production Planning and Scheduling, Renault Sas",Not in HAL,,,,,2-s2.0-85179625443,Marc Baratte,Guyancourt
"University of Technology of Troyes LIST3N, University of Technology of Troyes, LIST3N",In HAL (Valid),"1065712, 93484",Laboratoire Informatique et Société Numérique [LIST3N] | Université de Technologie de Troyes [UTT],,,2-s2.0-85179625046,Oumayma Laouini,Troyes
"University of Tunis El Manar, OASIS-ENIT",In HAL (Valid),1061809,University of Tunis El Manar,,,2-s2.0-85179625046,Zied Jemai,Tunis
"University of Paris-Saclay, Lgi, Centrale Supelec",In HAL (Valid),"411575, 1043712, 419361",Laboratoire Génie Industriel [LGI] | CentraleSupélec | Université Paris-Saclay,,,2-s2.0-85179625046,Zied Jemai,Chatenay-Malabry
"Department of Global Business and Trade, WU (Vienna University of Economics and Business)",Not in HAL,,,,,2-s2.0-85178355012,Belma Turan,Vienna
"Department of Technology, Management and Economics, Technical University of Denmark",In HAL (Valid),302599,Danmarks Tekniske Universitet = Technical University of Denmark [DTU],,,2-s2.0-85178355012,Allan Larsen,Kgs. Lyngby
"Université Paris-Saclay, CentraleSupélec, Laboratoire Génie Industriel",In HAL (Valid),"419361, 1043712, 411575",Laboratoire Génie Industriel [LGI] | CentraleSupélec | Université Paris-Saclay,,,2-s2.0-85178355012,Jakob Puchinger,Gif-su-Yvette
"Laboratoire Génie Industriel, CentraleSupélec",In HAL (Valid),"411575, 1043712, 419361",Laboratoire Génie Industriel [LGI] | CentraleSupélec | Université Paris-Saclay,,,2-s2.0-85178061814,Guillaume Lamé,Gif-sur-Yvette
"Department of Public Health and Primary Care, THIS Institute (The Healthcare Improvement Studies Institute), University of Cambridge",In HAL (Valid),237843,University of Cambridge [UK] [CAM],,,2-s2.0-85178061814,Guillaume Lamé,Cambridge
Emergo by UL,Not in HAL,,,,,2-s2.0-85178061814,Aneurin Canham,Southampton
"Nuffield Department of Primary Care Health Sciences, University of Oxford",In HAL (Valid),"547183, 302612","Nuffield Department of Primary Care Health Sciences, University of Oxford | University of Oxford",,,2-s2.0-85178061814,Lisa Hinton,Oxford
North Bristol NHS Trust,In HAL (Valid),562003,"North Bristol NHS Trust [Bristol, UK]",,,2-s2.0-85178061814,Tim Draycott,Bristol
"University Division of Anaesthesia, Cambridge University Hospitals NHS Foundation Trust",Not in HAL,,,,,2-s2.0-85178061814,Lucy Miller,Cambridge
"Department of Health Sciences, University of Leicester",In HAL (Valid),"162541, 300751",Department of Health Sciences [Leicester] | University of Leicester,,,2-s2.0-85178061814,Janet Willars,Leicester
"Université Paris-Saclay, CentraleSupélec, Laboratoire Génie Industriel (LGI)",In HAL (Valid),"419361, 1043712, 411575",Laboratoire Génie Industriel [LGI] | CentraleSupélec | Université Paris-Saclay,,,2-s2.0-85176089097,Sarra Fakhfakh,Paris
Renault Group,Not in HAL,,,,,2-s2.0-85176089097,Yann Chazal,Guyancourt
Institut de Recherche Technologique SystemX,Not in HAL,,,,,2-s2.0-85175399791,Tarek Chouaki,
"Université Paris Saclay, CentraleSupélec, Laboratoire Génie Industriel",In HAL (Valid),"419361, 1043712, 411575",Laboratoire Génie Industriel [LGI] | CentraleSupélec | Université Paris-Saclay,,,2-s2.0-85175399791,Tarek Chouaki,
EM Normandie,In HAL (Valid),301735,École de Management de Normandie [EM Normandie],,,2-s2.0-85175399791,Jakob Puchinger,
"CentraleSupélec, Université Paris-Saclay",In HAL (Valid),"419361, 411575",CentraleSupélec | Université Paris-Saclay,,,2-s2.0-85174485754,Yang Sun,Gif-Sur-Yvette
SNCF SA,Not in HAL,,,,,2-s2.0-85174485754,Yang Sun,Paris
ESTIA Institute of Technology,In HAL (Valid),39415,ESTIA INSTITUTE OF TECHNOLOGY,,,2-s2.0-85174485754,Guy André Boy,Bidart
"THIS Institute (The Healthcare Improvement Studies Institute), Department of Public Health and Primary Care, University of Cambridge",In HAL (Valid),237843,University of Cambridge [UK] [CAM],,,2-s2.0-85173044894,Elisa Giulia Liberati,Cambridge
"Laboratoire Genie Industriel, CentraleSupélec, Paris Saclay University",In HAL (Valid),"411575, 1043712, 419361",Laboratoire Génie Industriel [LGI] | CentraleSupélec | Université Paris-Saclay,,,2-s2.0-85173044894,Guillaume Lamé,Gif-sur-Yvette
"Health Services Management Centre, University of Birmingham",In HAL (Valid),421435,University of Birmingham [Birmingham],,,2-s2.0-85173044894,Justin Waring,Birmingham
"Department of Population Health Sciences, University of Leicester",In HAL (Valid),300751,University of Leicester,,,2-s2.0-85173044894,Carolyn Tarrant,Leicester
"Sustainable Economy Group, Department of Industrial Engineering, CentraleSupélec (Paris Saclay University)",In HAL (Valid),"411575, 1042314, 419361, 300024","CentraleSupélec | Sondra, CentraleSupélec, Université Paris-Saclay [SONDRA] | ONERA | Université Paris-Saclay",,,2-s2.0-85172870563,Wale Arowolo,Gif-sur-Yvette
"LGI, CentraleSupelec, Université Paris-Saclay",In HAL (Valid),"419361, 1043712, 411575",Laboratoire Génie Industriel [LGI] | CentraleSupélec | Université Paris-Saclay,,,2-s2.0-85165633727,Rodrigue Fokouop,Gif-sur-Yvette
Computational and Data Science Lab,Not in HAL,,,,,2-s2.0-85165633727,Rodrigue Fokouop,Paris
Groupe Hospitalier Paris Saint-Joseph,In HAL (Valid),322588,Groupe Hospitalier Paris Saint-Joseph [hpsj],,,2-s2.0-85165488162,Sayfeddine Eddous,
"Laboratoire Genie Industriel, CentraleSupélec, Université Paris-Saclay",In HAL (Valid),"419361, 1043712, 411575",Laboratoire Génie Industriel [LGI] | CentraleSupélec | Université Paris-Saclay,,,2-s2.0-85165488162,Sayfeddine Eddous,
"Laboratoire Genie Industriel, Université Paris-Saclay, CentraleSupélec;",In HAL (Valid),"419361, 1043712, 411575",Laboratoire Génie Industriel [LGI] | CentraleSupélec | Université Paris-Saclay,,,2-s2.0-85165484977,Joseph Mansour Salamé,
"Department of Industrial and Enterprise Systems Engineering, University of Illinois at Urbana-Champaign",In HAL (Valid),"175019, 303576, 325015",Department of Industrial and Enterprise Systems Engineering [ISE] | University of Illinois System | University of Illinois at Urbana-Champaign [Urbana] [UIUC],,,2-s2.0-85165484977,Michael Saidani,
"Université Paris Saclay - CentraleSupélec, Laboratoire Genie Industriel",In HAL (Valid),"411575, 1043712, 419361",Laboratoire Génie Industriel [LGI] | CentraleSupélec | Université Paris-Saclay,,,2-s2.0-85165481773,José Lameh,Gif-sur-Yvette
"Renault, Technocentre",In HAL (Valid),"133641, 300520",Technocentre Renault [Guyancourt] | RENAULT,,,2-s2.0-85165481773,José Lameh,Guyancourt
CentraleSupelec University,Not in HAL,,,,,2-s2.0-85165481228,MohammadReza Mirafzal,
Sibylone,Not in HAL,,,,,2-s2.0-85165481228,Piyush Wadhera,
"Irt SystemX, Paris-Saclay",In HAL (Valid),363822,IRT SystemX,,,2-s2.0-85165459332,Flore Vallet,Palaiseau
"Arts et Metiers Institute of Technology, University of Bordeaux, Cnrs, Bordeaux Inp, Inrae, I2M Bordeaux",In HAL (Valid),259761,Université de Bordeaux [UB],,,2-s2.0-85165459332,Nicolas Perry,Talence
"Laboratoire Génie Industriel, CentraleSupélec, Université Paris-Saclay",In HAL (Valid),"419361, 1043712, 411575",Laboratoire Génie Industriel [LGI] | CentraleSupélec | Université Paris-Saclay,,,2-s2.0-85165452855,Robin Lecomte,
"Centre de Recherche en Design, ENSCi les Ateliers / Ens Paris-Saclay, Université Paris-Saclay",In HAL (Valid),"419361, 1077964, 523723, 356552",Ecole Nationale Supérieure de Création Industrielle [ENSCI Les Ateliers] | Centre de Recherche en Design [CRD] | Université Paris-Saclay | Ecole Normale Supérieure  Paris-Saclay [ENS Paris Saclay],,,2-s2.0-85165452855,Robin Lecomte,
"Stellantis, Centre Technique Vélizy",In HAL (Valid),1073142,Stellantis - PSA Centre Technique de Vélizy,,,2-s2.0-85165452855,Robin Lecomte,
"Lgi, CentraleSupeléc",In HAL (Valid),"411575, 1043712, 419361",Laboratoire Génie Industriel [LGI] | CentraleSupélec | Université Paris-Saclay,,,2-s2.0-85165451802,Tjark Gall,
"Anthropolis Chair, Irt SystemX",In HAL (Valid),363822,IRT SystemX,,,2-s2.0-85165451802,Tjark Gall,
"Universite Paris -Saclay, CentraleSupelec, Laboratoire Genie Industriel",In HAL (Valid),"411575, 1043712, 419361",Laboratoire Génie Industriel [LGI] | CentraleSupélec | Université Paris-Saclay,,,2-s2.0-85165436795,Alexandre Disdier,Gif-sur-Yvette
"Univ. Bordeaux, Estia Institute of Technology",In HAL (Valid),39415,ESTIA INSTITUTE OF TECHNOLOGY,,,2-s2.0-85165436795,Alexandre Disdier,Bidart
Cs Group,In HAL (Valid),1124911,CS Group,,,2-s2.0-85165436795,Alexandre Disdier,Le Plessis-Robinson
"Laboratoire Genie Industriel, CentraleSupélec, Université Paris-Saclay",In HAL (Valid),"419361, 1043712, 411575",Laboratoire Génie Industriel [LGI] | CentraleSupélec | Université Paris-Saclay,,,2-s2.0-85165427960,Gabrielle Gentric,
Style & Design,Not in HAL,,,,,2-s2.0-85165427960,Gabrielle Gentric,
"Laboratoire Interdisciplinaire des Sciences du Numérique (LISN), Université Paris-Saclay",In HAL (Valid),"300009, 1061259, 441569, 411575, 419361",CentraleSupélec | Centre National de la Recherche Scientifique [CNRS] | Université Paris-Saclay | Institut National de Recherche en Informatique et en Automatique [Inria] | Laboratoire Interdisciplinaire des Sciences du Numérique [LISN],,,2-s2.0-85165427960,Vincent Boccara,
"Equipe de Recherche sur les Processus Innovatifs (ERPI), Université de Lorraine",In HAL (Valid),"413289, 218893",Equipe de Recherche sur les Processus Innovatifs [ERPI] | Université de Lorraine [UL],,,2-s2.0-85165427960,Hakim Boudaoud,
"Style & Design, Maurepas",Not in HAL,,,,,2-s2.0-85165427096,Benoît Dabouis,
"Université Paris-Saclay, Cnrs, Laboratoire Interdisciplinaire des Sciences du Numérique",In HAL (Valid),"300009, 1061259, 441569, 411575, 419361",CentraleSupélec | Centre National de la Recherche Scientifique [CNRS] | Université Paris-Saclay | Institut National de Recherche en Informatique et en Automatique [Inria] | Laboratoire Interdisciplinaire des Sciences du Numérique [LISN],,,2-s2.0-85165427096,Benoît Dabouis,Orsay
"Université Paris-Saclay, CentraleSupélec, Laboratoire Genie Industriel",In HAL (Valid),"419361, 1043712, 411575",Laboratoire Génie Industriel [LGI] | CentraleSupélec | Université Paris-Saclay,,,2-s2.0-85165427096,Benoît Dabouis,Gif-sur-Yvette
"Univ. Paris-Saclay, CentraleSupélec, LGI EA 2606, Chair Risk and Resilience of Complex Systems",In HAL (Valid),411575,CentraleSupélec,,,2-s2.0-85163409968,Peng Bi,Gif-sur-Yvette
"Department of Administration and Economics, Universidade Federal de Lavras",In HAL (Valid),479561,Universidade Federal de Lavras = Federal University of Lavras [UFLA],,,2-s2.0-85161509081,Thais Assis de Souza,Lavras
"LGI – Laboratoire Génie Industriel, Universite Paris-Saclay",In HAL (Valid),419361,Université Paris-Saclay,,,2-s2.0-85161509081,Isabelle Nicolaï,Gif-sur-Yvette
"Department of Computer Science, Federal University of Lavras",In HAL (Valid),479561,Universidade Federal de Lavras = Federal University of Lavras [UFLA],,,2-s2.0-85161509081,André Grützmann,Lavras
"Department of Economics, City University London",In HAL (Valid),138782,City University London,,,2-s2.0-85161379166,Olivier Massol,London
"Laboratoire de Génie Industriel, CentraleSupélec, Université Paris-Saclay",In HAL (Valid),"419361, 411575",CentraleSupélec | Université Paris-Saclay,,,2-s2.0-85161379166,Olivier Massol,Gif-sur-Yvette Cedex
The French Institute for International and Strategic Affairs (IRIS),Not in HAL,,,,,2-s2.0-85161379166,Emmanuel Hache,Paris
"Department of Economics and Business, Universitat Pompeu Fabra",In HAL (Valid),128785,Universitat Pompeu Fabra [Barcelona] [UPF],,,2-s2.0-85161379166,Albert Banal-Estañol,Barcelona
"Department of Mechanical and Industrial Engineering, College of Engineering, Qatar University",In HAL (Valid),257464,Qatar University,,,2-s2.0-85159894449,Mariem Mhiri,Doha
"Department of Accounting and Information Systems, College of Business and Economics, Qatar University",In HAL (Valid),257464,Qatar University,,,2-s2.0-85159894449,Karim Al-Yafi,Doha
"EM Normandie Business School, Métis Lab",In HAL (Valid),"150910, 301735",Métis Lab EM Normandie | École de Management de Normandie [EM Normandie],,,2-s2.0-85159894449,Benjamin Legros,Paris
"School of Economics and Management, Chang’an University",In HAL (Valid),347599,Chang'an University,,,2-s2.0-85159268084,Yiming Ma,Xi’an
"Laboratoire Genie Industriel, CentraleSupélec, Université Paris-Saclay",In HAL (Valid),"419361, 1043712, 411575",Laboratoire Génie Industriel [LGI] | CentraleSupélec | Université Paris-Saclay,,,2-s2.0-85159268084,Yiming Ma,
"Politecnico di Milano, Department of Mechanical Engineering",In HAL (Valid),125443,Politecnico di Milano [Milan] [POLIMI],,,2-s2.0-85146018833,Ziwei Lin,Milan
"Department of Industrial Engineering and Management, School of Mechanical Engineering, Shanghai Jiao Tong University",In HAL (Valid),233961,Shanghai Jiao Tong University [Shanghai],,,2-s2.0-85146018833,Sichang Du,Shanghai
"Laboratoire Genie Industriel, CentraleSupelec, Paris Saclay University",In HAL (Valid),"419361, 1043712, 411575",Laboratoire Génie Industriel [LGI] | CentraleSupélec | Université Paris-Saclay,,,2-s2.0-85146018833,Evren Sahin,Gif-sur-Yvette
